"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 9","3 wk ahead",-2.21606384084617,12,22,0.109037454027251,"ARLR_Gaussker"
"HHS Region 10","3 wk ahead",-2.4064902229456,12,22,0.0901310800764624,"ARLR_Gaussker"
"US National","4 wk ahead",-3.27907952047619,12,22,0.037662908792859,"ARLR_Gaussker"
"HHS Region 1","4 wk ahead",-2.26347852257231,12,22,0.103988129833379,"ARLR_Gaussker"
"HHS Region 2","4 wk ahead",-3.23109537174967,12,22,0.039514192344396,"ARLR_Gaussker"
"HHS Region 3","4 wk ahead",-2.77075258558296,12,22,0.0626148639617457,"ARLR_Gaussker"
"HHS Region 4","4 wk ahead",-2.85412637589335,12,22,0.057606125243947,"ARLR_Gaussker"
"HHS Region 5","4 wk ahead",-2.58295093222732,12,22,0.0755507296681485,"ARLR_Gaussker"
"HHS Region 6","4 wk ahead",-2.61067679085472,12,22,0.0734847930936302,"ARLR_Gaussker"
"HHS Region 7","4 wk ahead",-2.84740264647271,12,22,0.057994758310725,"ARLR_Gaussker"
"HHS Region 8","4 wk ahead",-2.53429031449265,12,22,0.0793179901231259,"ARLR_Gaussker"
"HHS Region 9","4 wk ahead",-2.19635710872384,12,22,0.111207538330233,"ARLR_Gaussker"
"HHS Region 10","4 wk ahead",-2.49633523176118,12,22,0.0823863730160885,"ARLR_Gaussker"
"HHS Region 1","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 1","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 10","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 10","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 2","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 2","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 3","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 3","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 4","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 4","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 5","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 5","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 6","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 6","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 7","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 7","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 8","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 8","Season peak week",-2.11021320034659,13,23,0.121212121212121,"ARLR_Gaussker"
"HHS Region 9","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 9","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"US National","Season onset",-2.42774823594805,13,23,0.0882352941176471,"ARLR_Gaussker"
"US National","Season peak week",-2.39789527279837,13,23,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 1","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 10","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 2","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 3","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 4","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 5","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 6","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 7","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 8","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"HHS Region 9","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"US National","Season peak percentage",-3.77658503453304,13,23,0.0229007633587786,"ARLR_Gaussker"
"US National","1 wk ahead",-1.25928092827783,13,23,0.283858067440349,"ARLR_Gaussker"
"HHS Region 1","1 wk ahead",-1.77077204103606,13,23,0.170201535518445,"ARLR_Gaussker"
"HHS Region 2","1 wk ahead",-1.7722770464293,13,23,0.169945573949636,"ARLR_Gaussker"
"HHS Region 3","1 wk ahead",-1.69990042164942,13,23,0.1827017162825,"ARLR_Gaussker"
